,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
68,Commerzbank,510.25,408.2,474.53,42325.24
69,Capital One,455.25,364.2,423.38,37762.99
70,Hana Financial Group,452.34,361.87,420.68,37521.6
71,Bank of Beijing,447.54,358.03,416.21,37123.44
72,Itaú Unibanco,439.5,351.6,408.74,36456.52
73,OCBC Bank,417.61,334.09,388.38,34640.75
74,Nonghyup Bank,417.37,333.9,388.15,34620.84
75,Bank of Jiangsu,410.83,328.66,382.07,34078.35
76,The Bank of New York Mellon,405.78,324.62,377.38,33659.45
77,ABN AMRO,405.67,324.54,377.27,33650.33
78,Bank of Shanghai,405.13,324.1,376.77,33605.53
79,Woori Bank,382.05,305.64,355.31,31691.05
80,KBC Bank,380.33,304.26,353.71,31548.37
81,China Zheshang Bank,380.14,304.11,353.53,31532.61
82,Banco do Brasil,379.78,303.82,353.2,31502.75
83,United Overseas Bank,376.07,300.86,349.75,31195.01
84,Nomura Holdings,373.41,298.73,347.27,30974.36
85,Landesbank Baden-Württemberg,346.45,277.16,322.2,28738.03
86,Erste Group,346.12,276.9,321.89,28710.65
87,Industrial Bank of Korea,343.49,274.79,319.45,28492.5
88,Bank of Ningbo,343.05,274.44,319.04,28456.0
89,Banco Bradesco,340.41,272.33,316.58,28237.01
90,SEB Group,338.91,271.13,315.19,28112.58
91,VTB Bank,335.11,268.09,311.65,27797.37
92,Handelsbanken,331.32,265.06,308.13,27482.99
93,DNB ASA,328.5,262.8,305.5,27249.08
94,Qatar National Bank,323.56,258.85,300.91,26839.3
95,National Bank of Canada,312.67,250.14,290.78,25935.98
96,Macquarie Group,313.47,250.78,291.53,26002.34
97,Nationwide Building Society,311.93,249.54,290.09,25874.59
98,Raiffeisen Gruppe,303.5,242.8,282.26,25175.32
99,First Abu Dhabi Bank,302.22,241.78,281.06,25069.15
